Accession	Gene ID	Abundances (Normalized): F1: Sample, rbohC C	Abundances (Normalized): F2: Sample, rbohC C	Abundances (Normalized): F3: Sample, rbohC C	Abundances (Normalized): F4: Sample, rbohC Cd	Abundances (Normalized): F5: Sample, rbohC Cd	Abundances (Normalized): F6: Sample, rbohC Cd	Abundance Ratio (log2): (rbohC Cd) / (rbohC C)	Abundance Ratio Adj. P-Value: (rbohC Cd) / (rbohC C)
Q9M2H7	AT3G58390	54918.7026039117	30985.7707935844	120335.679041716	381418.184775676	378386.781821456	75024.6878002797	2.78	0.001912924929026
Q9FLD5	AT5G40010	16859551.2848772	22592315.2466329	13217644.6636997	52117235.732645	39007698.9839765	18247322.9525679	1.21	0.001926238330329
O82659	AT3G50360	10745372.5242848	4097734.92388239	4032522.09179172	25277833.4116496	6379068.7274441	13263282.3408971	1.69	0.002000588210783
O82772	AT3G03640	90327640.9122032	83948902.9625195	94090073.1707099	183284299.768656	171200150.028145	181992117.479526	1.01	0.002171453138516
Q9LZQ7	AT3G62330	6734941.03564504	3467807.03982293	4069642.41011252	12233289.5696443	8639598.93906421	31450930.8447041	1.59	0.002254544620411
Q9SGA6	AT3G02080	137637998.05417	113704155.052422	115728820.929437	62106181.5484615	122454258.832997	31237513.7580397	-0.9	0.002270994471011
Q93YU8	AT3G60320	42566262.6736841	20430771.438917	36684797.3518877	18263073.2720152	10821384.1321314	33660780.0354386	-1.01	0.002501715015848
Q38856	AT4G19690	10225687.0217105	31534513.5814949	43783508.2834977	14184483.782686	14361112.953791	9212344.32239354	-1.15	0.002600536479477
Q9LM78	AT1G20760	57023186.5722346	91056036.0144906	20510411.6824708	29066997.6364248	28197611.12142	23825289.522532	-1.02	0.002630382585755
Q9FZ80	AT1G18590	9042549.43993348	7590266.42644174	6585841.21813073	2408911.02452283	8147025.55848897	2018672.69366656	-1.66	0.002794123212617
Q9M1E4		2475742.17363015	1815429.52236993	2162645.06848409	665894.351712424	435549.824012858	407498.482095664	-2.31	0.002843449464216
Q9FMT1	AT5G14200	30141381.8927882	25121275.9914597	27340092.3986128	56329680.4522948	68160623.2002248	45741971.6626875	1.04	0.003312818872622
A8MQL8	AT5G15230	5111733.89619853	5902481.52749929	6183756.54393687	518552.497589813	2028225.64448977	1722675.66585323	-1.78	0.003399370073377
Q9SSC1	AT1G80180	669909.839539398	849855.460071308	2716459.07354206	3782364.7867818	3881736.98991443	1773924.89918315	2.15	0.00353692005248
Q9M1Q4		2117799.63341911	870791.191626056	1123954.57515038	161502.919006312	1109854.06189997	35152.672545323	-2.8	0.003548970299722
Q9SRT4		14047773.4933711	9249722.73433727	8268147.49423078	21825343.2655064	21728510.3258713	7853024.07768731	1.23	0.003596594997634
Q8L607	AT2G41670	166116900.791031	178982984.328222	112338172.876129	174633093.991964	88062813.3086394	73713118.2265336	-0.92	0.003618718854888
A0A1P8BDS3	AT5G44480	60118045.5400457	191901368.641482	62305215.6647282	120280363.070894	441667227.476206	77321042.5688642	0.95	0.003649859581914
Q9FHM5	AT5G51590	506814.750445704	378944.069040203	406848.304160089	1757897.88823441	2311787.78177942	2154165.52503703	2.4	0.003695200635879
O22270		46112181.7073251	14241880.0331666	35960586.1961922	32289685.8588203	12244773.6353659	18166048.9400816	-0.99	0.003993557766497
F4JWY3	AT5G41140	1348828.03973164	0	0	5138424.49099418	1074838.70585256	4827103.95412281	1.84	0.004044499884438
Q949Z2	AT5G26740	24843086.2317139	68359312.0939125	22697983.3203075	46745029.919616	53242631.6203153	51303701.1093786	1.05	0.004173437364998
Q9M047	AT3G55770	10639448.9310507	12061324.8837156	11948607.9658735	4659565.01714427	5748367.72551063	4607126.71723632	-1.36	0.004285748800848
Q0WVM7	AT4G25520	15968292.5317019	13886887.0190517	18120892.624338	44509751.9854314	30434422.3462151	36316367.6318757	1.19	0.004299195764986
Q9LLC1	AT5G15530	56583975.1016069	34659259.3315871	31535013.3539026	68394311.8116755	45057389.3490589	87605463.7544265	0.98	0.004387413196234
P48623	AT2G29980	12026121.9038874	9835463.84007022	7844557.21925919	3444150.65267416	6348594.00203758	3409535.17588179	-1.51	0.004556332197409
Q4V3C8	AT3G10540	3916914.65632509	5279603.87182631	5618925.57437878	1619890.6837636	5301861.51407342	1448922.28504697	-1.7	0.004591706875008
Q9FXB0	AT1G56580	11409151.7359893	5662203.60012306	11812023.7848889	5147272.81762014	4415493.19302691	3518970.59621056	-1.37	0.004721484332856
A5PHT0	AT1G24485	796687.855500777	55522.1846155437	553736.968721261	2962699.67013108	2392797.35969407	602575.966192357	2.11	0.004794216307817
A0A1I9LPZ1	AT3G50370	14949460.3105968	11168821.8590606	10089494.93664	25390967.1165869	25985141.1983006	12009171.3884421	1.18	0.00485510266416
Q8W4I9	AT5G61960	486571.988305953	1349337.79375012	942321.788684709	5002132.4847116	1613038.70838437	4028140.36423219	2.1	0.004997839644559
Q9FUP0	AT2G06050	424063.571314685	762742.31061012	316327.480243038	836254.801101299	2195766.87043268	3593157.26234884	2.37	0.005093824866586
Q0WNC2	AT1G08530	520895.549761249	893626.725783303	1110799.06794831	144473.928833689	0	0	-2.63	0.005151749136736
Q94AD1	AT1G48610	33141678.8587906	13141861.7042495	4541052.0763914	43833811.5054626	21163414.120731	30382638.6245748	1.21	0.005333150072142
O81472	AT4G08480	1594933.00611787	16318330.0656928	2509291.29576779	0	4172341.63053307	16829641.7248962	1.74	0.005662013258375
Q941L3	AT5G61900	28107474.3881462	28843143.3431516	50172978.5191991	34394221.0658662	58543665.6609114	62175959.5937906	1.02	0.005738957892112
F4JMW3	AT4G29180	2151059.68513674	6872599.19965363	2480931.29500384	2218538.35223118	11784317.0568808	8335900.33929972	1.75	0.005825442535951
Q94K78	AT2G40765	33234511.5272164	28380961.3653595	37181921.9248119	64483179.69743	40984252.1467758	65459416.8951918	0.96	0.005973583596262
Q8H1U4	AT1G06590	187211.721567415	215710.527556344	118856.639917971	0	2135049.27330771	815786.201676812	2.82	0.005994791565752
F4HWS5	AT1G48110	98360.681133074	132775.473130293	190455.758931965	386939.993745046	841318.039695467	1485937.70454496	2.66	0.006059646234602
P93313	ATMG00580	19552557.1402254	23157100.5336793	23791450.8772572	10587867.5131127	14070070.6819937	4277134.53233841	-1.13	0.0061978655886
P10798	AT5G38410	933700.585065088	595725.900831836	299447.265703825	2883885.12383963	599309.728605157	2517356.34998519	2.08	0.006427897180921
A0A1P8B3U2	AT4G16260	31177095.899238	27726271.3711617	23737237.4928708	126679763.191505	34147511.3822423	55446612.6632449	1	0.006485692258519
Q9SZ21		819208.517782227	4948523.9316324	2990524.77803143	219530.477110312	2720305.33704008	0	-1.95	0.006630873346451
