Accession	Gene ID	Abundances (Normalized): F13: Sample, WT C	Abundances (Normalized): F14: Sample, WT C	Abundances (Normalized): F15: Sample, WT C	Abundances (Normalized): F16: Sample, WT Cd	Abundances (Normalized): F17: Sample, WT Cd	Abundances (Normalized): F18: Sample, WT Cd	Abundance Ratio (log2): (WT Cd) / (WT C)	Abundance Ratio Adj. P-Value: (WT Cd) / (WT C)
F4JKM2	AT4G34230	10267418.436625	12775110.2177802	4299699.15966916	2799768.5625	3482008.47121039	1082546.37134098	-1.87	0.009182755028046
Q8RWH9	AT4G37130	878598.057418824	1528330.76489877	4553455.39192196	8371840.6875	10551842.9881413	7447372.71164035	2.45	0.009249456140712
A0A1R7T3D6		12432068.4492504	12714472.2131337	12246221.1348099	4076914.625	7152783.54709288	4307104.96587509	-1.53	0.00995755787441
Q0WTF4	AT4G37400	4281797.78538971	4067487.29260615	11469150.6953012	24762729.5	11785585.8023066	15696491.5017648	1.87	0.010499049266716
B3LF89		4747890.41088292	7176808.20019341	546407.879786874	1191093	1763271.06420849	832665.40181706	-2	0.010715359456679
Q9SQG2	AT3G04080	17261234.8396296	14977441.4009036	24815828.8372428	48327544.71875	54278836.9586457	56205512.5163705	1.65	0.010746649263421
Q945K9	AT4G34150	6809679.22043466	3685780.69936456	5236622.56076276	896838.796875	2498451.44240391	1092455.35776864	-2.26	0.011208231033888
Q84P25	AT1G20480	28038740.8690686	16343915.1371912	8571281.17421821	2038453.515625	7065246.64892194	5798291.12475766	-1.5	0.011408475976232
Q39199	AT1G79050	7044313.79380423	6763036.79393662	6684644.52959808	1777765.8125	1679027.18448199	1803084.37147529	-1.93	0.01146961173421
O04193	AT2G39900	22005028.1680207	87828185.9025467	21851998.3346805	8051690.953125	7680716.20238968	8026220.28660168	-1.46	0.011628787363779
Q9LYS2	AT3G59140	1638449.7372489	3030536.81168552	9180215.2809535	6162265.578125	23071218.7227836	11779544.032727	1.96	0.011640377042587
Q9LW27	AT3G26830	61283046.6842863	47221384.5719405	53026972.6165131	177747868.875	146119819.823726	109516070.954253	1.46	0.011687720214207
Q9LTI3	AT5G59470	0	23145.9637691319	183305.074982629	479830.0625	573922.569668239	516645.352902214	2.99	0.011937144354811
Q9SJM7	AT2G36310	711106.161318038	243951.404235742	184700.572704488	1835061.6875	2115210.22924482	748964.458862188	2.91	0.011941235176376
Q147R7	AT5G44820	593433.518981542	476776.25900933	489496.352858916	4262773.015625	3889413.0089341	3568305.47388147	2.99	0.012043228947509
O49570	AT4G31200	7674868.26868096	6004847.81444303	6629117.95859309	1506037.734375	1615618.720135	3896861.48553118	-2.04	0.012157990620429
Q9SRM4	AT3G11200	21034591.6687682	27585244.3559768	15368837.4142318	72372127.75	65992874.4558424	69033916.2232145	1.71	0.01220812317192
Q9LDA4	AT4G08780	3926798.60438504	3867024.73855682	3533443.48267971	15146652.65625	14096451.602758	5376811.29253998	1.87	0.012377604840563
Q9ZUN4	AT2G19590	7688389.96251989	3151582.65031271	1415695.35533934	2502624.4609375	368978.346471576	425313.987914335	-2.89	0.012585711606466
A0A1P8B454	AT4G33200	33471440.8122895	23964546.3329143	28243643.7708755	78736800.0703125	81071112.3801506	82693891.4144025	1.52	0.013551081089677
P37106	AT1G15310	0	72318.770984325	0	453170.71875	549434.037395039	778364.020418426	2.93	0.013557793320522
F4K6N3		2361685.61825349	2605847.17138729	0	11420474.96875	9470075.13841275	18993170.4918434	2.2	0.013591562554794
Q8RX67	AT1G72130	0	435471.633382418	864037.167096361	4041313.46875	6677972.1614947	2503652.57053658	2.72	0.013673598867578
P60112	ATMG01080	0	0	651113.676605497	97474.8984375	294043.524400655	38252.6407533778	-2.74	0.014215085709106
Q9M214	AT3G60450	4255346.56573331	4248176.91632072	6313377.54489795	15144485.375	15098865.5295695	8479763.60799616	1.83	0.014653806643344
Q8LA16	AT1G14510	9690234.56933645	9414068.84029723	9501937.40690494	2374912.078125	1939024.85291341	16778798.6808041	-2	0.014783530986255
F4IZ80	AT3G49845	7361922.66883511	4147525.50583791	5541607.48246406	1308933.15625	1428432.08955966	889336.744329165	-2.08	0.01484570842922
Q9M8U2	AT3G03010	15079926.3974942	9051566.6431175	11531633.5333877	34665172.640625	33530246.2381073	35804750.200047	1.59	0.015416981974402
Q9FNZ1	AT5G51980	10564869.1682251	15306372.3439245	6891053.90757995	38574762.609375	31911420.9332112	28405927.6265897	1.59	0.015701043136843
Q9SV21	AT4G31480	33650891.8701597	28929982.5771781	19821296.1856103	12893960.65625	10224941.6613297	11751312.0301648	-1.3	0.015755455539638
Q8RXL8	AT1G06890	9646743.3789746	5948885.15313653	10570179.5436089	30845619.53125	35032715.6645342	26229233.4480292	1.68	0.015871029390085
O23006	AT2G17120	129451727.702567	135202669.823872	101806358.736977	86929666.328125	58712739.2718697	60515069.6723613	-1.1	0.016252882624665
Q9SU63	AT3G48000	24750440.2179489	20786487.0462973	9194441.92131477	9073572.84375	7136830.49491063	6079825.35715301	-1.54	0.016834480921271
Q9XF67	AT5G04510	3753122.64252309	3664197.18701075	3361281.54232574	459492.25	926101.054845811	573148.814022018	-2.68	0.01764322655496
