intersections	protein
WT	Q7PC79
WT	Q9XI07
WT	Q9M028
WT	Q8LG05
WT	Q84TF0
WT	Q9ZW84
WT	Q84WW2
WT	Q9SYQ8
WT	Q96291
WT	Q9LJX4
WT	Q9LIB3
WT	F4HRS2
WT	F4I962
WT	Q9XES1
WT	O22939
WT	Q9LUD2
WT	Q9FFW8
WT	Q9LVA4
WT	Q8GYM6
WT	Q9SAE3
WT	Q9SH30
WT	Q9ZVA2
WT	Q941R6
WT	Q43729
WT	Q84VX7
WT	O80585
WT	Q9LTS6
WT	A0A1I9LN01
WT	F4JNM2
WT	F4IAN4
WT	Q9SU83
WT	Q8L8V4
WT	Q8VZ80
WT	Q9CAF9
WT	Q9FLD3
WT	O23238
WT	Q8VZF6
WT	F4K0R0
WT	Q945L0
WT	Q9LRJ9
WT	F4IM56
WT	Q9LXZ4
WT	Q8LAD0
WT	Q9XHZ8
WT	Q9CAT7
WT	Q84JU6
WT	O49213
WT	F4IE35
WT	F4J0D2
WT	F4HTI1
WT	O04308
WT	Q9LM76
WT	Q9M314
WT	Q9SZV3
WT	Q3EBD3
WT	Q9SB33
WT	F4IDB2
WT	Q8VYA5
WT	Q0WW84
WT	Q9FKS8
WT	Q9SVV9
WT	A8MSF9
WT	Q9FDZ5
WT	P0CB23
WT	Q9LPL6
WT	Q9S9N4
WT	Q3MKM6
WT	Q6ICY4
WT	Q9SSK5
WT	Q9XGW1
WT	F4IB95
WT	Q9M386
WT	C0LGQ9
WT	F4HW04
WT	A0A2H1ZE60
WT	F4JLJ2
WT	Q66GM8
WT	Q9FY64
WT	O23180
WT	F4IIU4
WT	A8MQN4
WT	Q9SLM4
WT	O81816
WT	P0C1T5
WT	F4K5T4
WT	Q9SIL7
WT	Q9LSM3
WT	Q29Q26
WT	Q9SZR6
WT	Q9SKL6
WT	F4IYR7
WT	F4J043
WT	P56795
WT	F4KGW0
WT	Q9SYZ9
WT	Q9ASU6
WT	Q8VYK6
WT	F4JKM2
WT	Q8RWH9
WT	A0A1R7T3D6
WT	B3LF89
WT	Q9SQG2
WT	Q945K9
WT	Q84P25
WT	Q39199
WT	Q9LYS2
WT	Q9LTI3
WT	Q9SJM7
WT	Q147R7
WT	O49570
WT	Q9SRM4
WT	Q9LDA4
WT	Q9ZUN4
WT	A0A1P8B454
WT	P37106
WT	F4K6N3
WT	Q8RX67
WT	Q9M214
WT	Q9M8U2
WT	Q9FNZ1
WT	Q9SV21
WT	Q8RXL8
WT	O23006
WT	Q9SU63
WT	Q9XF67
WT	Q9FZ27
WT	F4JJ27
WT	Q9M1Q9
WT	Q8W5S1
WT	A0A1P8B1L7
WT	Q94A05
WT	Q9LM13
WT	Q9FIJ0
WT	Q8RY80
WT	Q9SVZ8
WT	F4J298
WT	Q9FMG4
WT	Q8RWV9
WT	Q8W4I4
WT	Q9C587
WT	Q9SGP9
WT	Q7Y1W1
WT	Q9C9Z9
WT	Q8VY59
WT	Q9FKM8
WT	Q8GWQ6
WT	P93017
WT	Q9FX97
WT	Q9M146
WT	Q9ZPX1
WT	P48421
WT	Q42602
WT	A0A1P8B8H5
WT	A0A1P8AXC4
WT	Q9SA18
WT	Q39163
WT	Q9SN38
WT	Q9FII7
WT	Q9C5E7
WT	F4HSX1
WT	Q9FNL3
WT	Q9LIG9
WT	Q9ASS7
WT	Q8LG42
WT	Q8GYC5
WT	F4I259
WT	Q9C8H0
WT	A0A1P8BCS7
WT	Q0WPQ2
WT	Q9SDA2
WT	Q9SGN8
WT	Q84WU8
WT	Q9LX15
WT	F4HV06
WT	Q9SD86
WT	F4IQ05
WT	Q9FJJ5
WT	Q5XF81
WT	Q0WPK4
WT	Q9STY7
WT	Q42342
WT	Q944H0
WT	Q9SZR1
WT	C0LGU1
WT	A0A1P8B591
WT	P14891
WT	Q9T051
WT	Q9SA87
WT	O80946
WT	A0A1P8BEG1
WT	Q9FE78
WT	F4J381
WT	Q67YL8
