intersections	protein
rbohF - WT (CTRL)	Q8W458
rbohF - WT (CTRL)	Q9FYG2
rbohF - WT (CTRL)	C0Z274
rbohF - WT (CTRL)	Q947D2
rbohF - WT (CTRL)	Q9SY09
rbohF - WT (CTRL)	Q9SA72
rbohF - WT (CTRL)	P49040
rbohF - WT (CTRL)	Q9LE86
rbohF - WT (CTRL)	P49572
rbohF - WT (CTRL)	Q9FE78
rbohF - WT (CTRL)	Q9SVZ8
rbohF - WT (CTRL)	Q9LIG9
rbohF - WT (CTRL)	Q8RY23
rbohF - WT (CTRL)	P34893
rbohF - WT (CTRL)	A0A1P8AZ34
rbohF - WT (CTRL)	F4HW04
rbohF - WT (CTRL)	Q9ZST4
rbohF - WT (CTRL)	Q8LDQ4
rbohF - WT (CTRL)	Q8GWD5
rbohF - WT (CTRL)	Q9SR36
rbohF - WT (CTRL)	Q9LX15
rbohF - WT (CTRL)	Q9LTI3
rbohF - WT (CTRL)	Q84WU8
rbohF - WT (CTRL)	Q9SIU0
rbohF - WT (CTRL)	Q9SAH5
rbohF - WT (CTRL)	Q9SAK9
rbohF - WT (CTRL)	P58050
rbohF - WT (CTRL)	Q9LN61
rbohF - WT (CTRL)	Q9SW44
rbohF - WT (CTRL)	Q8GZ51
rbohF - WT (CTRL)	Q9FKA4
rbohF - WT (CTRL)	Q9FVQ1
rbohF - WT (CTRL)	P30366
rbohF - WT (CTRL)	F4JTS8
rbohF - WT (CTRL)	Q9FWW5
rbohF - WT (CTRL)	Q9LEY9
rbohF - WT (CTRL)	Q9SQH9
rbohF - WT (CTRL)	Q67YL8
rbohF - WT (CTRL)	F4IQS9
rbohF - WT (CTRL)	Q9SZ70
rbohF - WT (CTRL)	Q96291
rbohF - WT (CTRL)	F4K790
rbohF - WT (CTRL)	Q9C9B9
rbohF - WT (CTRL)	A0A1I9LQT2
rbohF - WT (CTRL)	Q9FX97
rbohF - WT (CTRL)	P62126
rbohF - WT (CTRL)	O48724
rbohF - WT (CTRL)	A0A1R7T394
rbohF - WT (CTRL)	Q9LFL3
rbohF - WT (CTRL)	Q9M146
rbohF - WT (CTRL)	Q9FYF8
rbohF - WT (CTRL)	Q8RWI2
rbohF - WT (CTRL)	Q9SB31
rbohF - WT (CTRL)	Q9LW57
rbohF - WT (CTRL)	A0A1P8B591
rbohF - WT (CTRL)	Q9FF15
rbohF - WT (CTRL)	P37106
rbohF - WT (CTRL)	Q9SZR1
rbohF - WT (CTRL)	A0A1P8AZV7
rbohF - WT (CTRL)	Q9C7H2
rbohF - WT (CTRL)	Q84M24
rbohF - WT (CTRL)	Q9ZVA2
rbohF - WT (CTRL)	Q9SZR6
rbohF - WT (CTRL)	Q680L3
rbohF - WT (CTRL)	Q9SYA9
rbohF - WT (CTRL)	Q9SVD1
